Region,Children enrolled in a preschool or preschool program (no.),Estimated resident Aboriginal and Torres Strait Islander population (no.),Estimated resident population (no.),Land area (ha),Median monthly household mortgage payment ($),Median price of established house transfers ($),Median total income (excl. Government pensions and allowances) ($),Median weekly household rental payment ($),Number of jobs,Persons born overseas (no.),Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),Total number of businesses,Total protected land area (ha),Working age population (aged 15-64 years) (%)
Maryborough Surrounds,2021/49,2021/123,2023/5 644,2021/162 755.2,2021/1 046,2023/370 000,2020/38 880,2021/200,2020/3 431,2021/553,2021/0,2023/436,2022/9 938,2022/56.3
Bendigo,2021/176,2021/565,2023/14 625,2021/1 608,2021/1 300,2023/507 000,2020/48 853,2021/280,2020/11 223,2021/1 780,2021/1.1,2023/1 897,2022/41,2022/64.7
California Gully - Eaglehawk,2021/216,2021/589,2023/13 310,2021/3 293.1,2021/1 300,2023/510 000,2020/47 989,2021/280,2020/8 900,2021/1 157,2021/4.4,2023/583,2022/160,2022/62.5
East Bendigo - Kennington,2021/180,2021/278,2023/13 974,2021/1 714.9,2021/1 430,2023/620 000,2020/49 879,2021/295,2020/10 328,2021/1 582,2021/0,2023/1 243,2022/19,2022/59.5
Flora Hill - Spring Gully,2021/127,2021/193,2023/9 460,2021/1 320.3,2021/1 399,2023/580 000,2020/50 172,2021/290,2020/7 389,2021/936,2021/0,2023/515,2022/260,2022/65.4
Kangaroo Flat - Golden Square,2021/349,2021/640,2023/21 258,2021/4 091.5,2021/1 300,2023/519 000,2020/48 761,2021/290,2020/14 611,2021/2 206,2021/0,2023/1 219,2022/569,2022/59.3
Maiden Gully,2021/95,2021/85,2023/5 749,2021/4 297.6,2021/1 690,2023/775 000,2020/54 617,2021/380,2020/4 459,2021/315,2021/0,2023/371,2022/50,2022/62.9
Strathfieldsaye,2021/228,2021/113,2023/11 271,2021/5 641.4,2021/1 742,2023/725 000,2020/57 975,2021/400,2020/7 954,2021/896,2021/0,2023/704,2022/1 091,2022/59.4
White Hills - Ascot,2021/320,2021/444,2023/15 236,2021/6 777.7,2021/1 469,2023/565 000,2020/53 137,2021/330,2020/10 701,2021/1 426,2021/3.3,2023/771,2022/926,2022/62.5
Bendigo Surrounds - South,2021/113,2021/141,2023/8 808,2021/79 685.4,2021/1 625,2023/615 500,2020/52 331,2021/320,2020/6 441,2021/566,2021/2.5,2023/721,2022/5 752,2022/63
Castlemaine,,,,,,,,,,,,,,
Castlemaine Surrounds,2021/100,2021/141,2023/9 397,2021/151 498,2021/1 473,2023/705 000,2020/42 113,2021/280,2020/6 963,2021/1 059,2021/0,2023/952,2022/4 121,2022/58
Heathcote,2021/41,2021/104,2023/5 261,2021/75 681.7,2021/1 387,2023/542 500,2020/43 831,2021/260,2020/3 179,2021/533,2021/0,2023/401,2022/7 003,2022/55.6
Kyneton,2021/142,2021/110,2023/10 571,2021/55 649,2021/1 737,2023/850 000,2020/48 746,2021/351,2020/8 283,2021/1 483,2021/4.2,2023/1 271,2022/717,2022/58.5
Woodend,2021/116,2021/55,2023/8 044,2021/21 186.8,2021/2 000,2023/865 000,2020/55 926,2021/392,2020/5 935,2021/1 269,2021/0,2023/758,2022/140,2022/57.7
Bendigo Surrounds - North,2021/63,2021/144,2023/5 154,2021/144 021.8,2021/1 300,2023/380 000,2020/48 282,2021/230,2020/3 596,2021/290,2021/0,2023/529,2022/14 408,2022/62.2
Loddon,2021/77,2021/211,2023/7 256,2021/619 330.7,2021/867,2023/267 500,2020/41 140,2021/170,2020/5 037,2021/614,2021/0,2023/964,2022/37 479,2022/55.2
Bannockburn,2021/157,2021/116,2023/8 143,2021/19 205.2,2021/1 907,2023/715 000,2020/57 208,2021/386,2020/5 742,2021/736,2021/0,2023/652,2022/151,2022/61.7
Golden Plains - South,2021/114,2021/118,2023/8 467,2021/148 452.9,2021/1 733,2023/660 000,2020/50 940,2021/308,2020/6 393,2021/789,2021/0,2023/858,2022/5 506,2022/63.2
Winchelsea,2021/89,2021/65,2023/6 781,2021/90 325.7,2021/1 733,2023/645 000,2020/50 686,2021/300,2020/5 476,2021/568,2021/0,2023/970,2022/1 407,2022/62.6
Belmont,2021/247,2021/237,2023/14 993,2021/936.8,2021/1 700,2023/691 000,2020/49 738,2021/350,2020/12 211,2021/2 563,2021/0,2023/1 059,2022/No data available,2022/64.3
Geelong,2021/142,2021/182,2023/13 649,2021/1 281.7,2021/1 703,2023/798 500,2020/53 310,2021/340,2020/12 087,2021/2 427,2021/2.6,2023/3 279,2022/No data available,2022/68.5
Geelong West - Hamlyn Heights,2021/378,2021/254,2023/21 846,2021/3 203.8,2021/1 842,2023/830 000,2020/56 471,2021/335,2020/17 901,2021/3 328,2021/3.2,2023/1 733,2022/No data available,2022/66.3
Highton,2021/380,2021/129,2023/25 142,2021/4 058.7,2021/2 000,2023/923 000,2020/53 558,2021/365,2020/19 239,2021/4 503,2021/0,2023/1 773,2022/No data available,2022/64.4
Lara,2021/325,2021/501,2023/22 090,2021/58 860.1,2021/1 755,2023/705 000,2020/56 249,2021/370,2020/15 061,2021/3 574,2021/0,2023/1 385,2022/3 227,2022/65.8
Leopold,2021/213,2021/182,2023/13 516,2021/2 792.9,2021/1 603,2023/700 000,2020/50 454,2021/375,2020/9 957,2021/1 783,2021/0,2023/727,2022/27,2022/60.5
Newcomb - Moolap,2021/181,2021/372,2023/15 197,2021/4 329.4,2021/1 367,2023/570 000,2020/46 478,2021/300,2020/11 199,2021/2 210,2021/0,2023/987,2022/890,2022/60.8
Newtown (Vic.),2021/168,2021/92,2023/10 362,2021/580.8,2021/2 167,2023/1 220 000,2020/60 993,2021/360,2020/8 960,2021/1 513,2021/3.8,2023/1 457,2022/No data available,2022/62.9
North Geelong - Bell Park,2021/241,2021/222,2023/15 718,2021/2 193.2,2021/1 560,2023/650 000,2020/50 763,2021/340,2020/11 810,2021/4 397,2021/3.2,2023/1 695,2022/83,2022/61.1
Charlemont,2021/89,2021/140,2023/12 731,2021/1 811.7,2021/1 755,2023/662 500,2020/No data available,2021/420,2020/4 025,2021/1 898,2021/0,2023/579,2022/No data available,2022/66.7
Corio - Lovely Banks,2021/242,2021/537,2023/18 401,2021/7 435.1,2021/1 300,2023/511 750,2020/No data available,2021/280,2020/11 891,2021/4 572,2021/1.5,2023/1 016,2022/30,2022/66.5
Grovedale - Mount Duneed,2021/491,2021/331,2023/26 663,2021/3 758.8,2021/1 733,2023/715 000,2020/No data available,2021/390,2020/22 244,2021/4 466,2021/3.2,2023/1 551,2022/No data available,2022/64.4
Norlane,2021/120,2021/410,2023/8 950,2021/646.3,2021/1 200,2023/460 500,2020/No data available,2021/254,2020/5 872,2021/2 289,2021/0,2023/545,2022/No data available,2022/65.8
Clifton Springs,2021/237,2021/254,2023/17 514,2021/6 515,2021/1 650,2023/690 000,2020/48 415,2021/380,2020/11 687,2021/2 545,2021/1.4,2023/971,2022/7,2022/57.5
Lorne - Anglesea,2021/44,2021/29,2023/6 215,2021/44 799.2,2021/2 167,2023/1 872 500,2020/42 606,2021/390,2020/4 586,2021/735,2021/0,2023/719,2022/31 733,2022/55
Portarlington,2021/79,2021/102,2023/10 282,2021/7 185.6,2021/1 667,2023/840 000,2020/40 764,2021/340,2020/5 405,2021/1 569,2021/0,2023/600,2022/369,2022/50.3
Point Lonsdale - Queenscliff,2021/52,2021/22,2023/5 725,2021/6 167.3,2021/2 000,2023/1 525 000,2020/44 696,2021/400,2020/3 355,2021/622,2021/0,2023/535,2022/236,2022/44.2
Torquay,,,,,,,,,,,,,,
Barwon Heads - Armstrong Creek,2021/166,2021/133,2023/13 295,2021/8 821.1,2021/1 907,2023/725 000,2020/No data available,2021/420,2020/7 551,2021/1 657,2021/7.8,2023/931,2022/2 423,2022/61.9
Ocean Grove,2021/336,2021/135,2023/20 220,2021/6 876.8,2021/2 000,2023/1 050 000,2020/No data available,2021/420,2020/15 340,2021/2 222,2021/0,2023/1 684,2022/532,2022/57.9
Alexandra,2021/80,2021/129,2023/6 836,2021/211 895.5,2021/1 300,2023/520 000,2020/40 199,2021/250,2020/5 054,2021/844,2021/0,2023/855,2022/30 252,2022/55.5
Euroa,2021/65,2021/156,2023/6 862,2021/205 790.5,2021/1 170,2023/460 000,2020/41 079,2021/250,2020/5 093,2021/630,2021/0,2023/991,2022/4 522,2022/53.1
Kilmore - Broadford,2021/246,2021/356,2023/16 130,2021/46 152.3,2021/1 603,2023/570 000,2020/52 821,2021/330,2020/11 251,2021/1 749,2021/2.1,2023/1 320,2022/1 592,2022/61.8
Mansfield (Vic.),2021/131,2021/134,2023/10 905,2021/392 787.7,2021/1 500,2023/665 000,2020/40 256,2021/320,2020/7 907,2021/1 197,2021/2.9,2023/1 480,2022/59 205,2022/57.8
Nagambie,,,,,,,,,,,,,,
Seymour,2021/80,2021/262,2023/6 665,2021/7 930.9,2021/1 300,2023/445 000,2020/46 029,2021/250,2020/4 490,2021/735,2021/0,2023/499,2022/341,2022/60.9
Seymour Surrounds,2021/56,2021/143,2023/4 566,2021/168 883.1,2021/1 733,2021/420 000,2020/54 521,2021/265,2020/3 386,2021/474,2021/0,2023/480,2022/2 637,2022/66
Upper Yarra Valley,2019/3,2021/7,2023/247,2021/85 627.1,2021/1 100,2022/565 000,2020/39 982,2021/260,2020/148,2021/17,2021/0,2023/13,2022/44 601,2022/71.7
Yea,2021/46,2021/95,2023/4 297,2021/147 429.7,2021/1 500,2023/555 000,2020/40 162,2021/300,2020/2 889,2021/449,2021/0,2023/600,2022/3 241,2022/57.9
Benalla,2021/132,2021/261,2023/10 799,2021/31 530.4,2021/1 253,2023/430 000,2020/45 272,2021/250,2020/7 563,2021/1 055,2021/0,2023/911,2022/2 224,2022/54.9
Benalla Surrounds,2021/41,2021/76,2023/3 809,2021/210 532.4,2021/1 365,2022/452 000,2020/39 851,2021/220,2020/3 265,2021/298,2021/6.3,2023/701,2022/16 197,2022/59.4
Rutherglen,2021/54,2021/102,2023/4 116,2021/47 983.5,2021/1 300,2023/541 000,2020/49 146,2021/243,2020/3 217,2021/273,2021/0,2023/433,2022/2 136,2022/57.3
Wangaratta,2021/302,2021/533,2023/19 969,2021/5 758.4,2021/1 300,2023/520 000,2020/48 372,2021/260,2020/14 557,2021/1 943,2021/0.7,2023/1 631,2022/98,2022/58.3
Wangaratta Surrounds,2021/141,2021/138,2023/10 033,2021/358 752.6,2021/1 500,2023/505 000,2020/44 091,2021/250,2020/8 934,2021/749,2021/4.3,2023/1 628,2022/66 261,2022/58.8
Beechworth,2021/52,2021/55,2023/4 935,2021/37 133.1,2021/1 560,2023/730 000,2020/45 613,2021/300,2020/3 970,2021/592,2021/0,2023/545,2022/7 026,2022/56.4
Bright - Mount Beauty,2021/117,2021/85,2023/8 915,2021/425 365.4,2021/1 500,2023/857 500,2020/39 120,2021/298,2020/7 414,2021/1 258,2021/26.5,2023/1 215,2022/171 286,2022/60.8
Chiltern - Indigo Valley,2021/30,2021/60,2023/3 230,2021/51 309,2021/1 389,2023/402 000,2020/49 171,2021/260,2020/2 782,2021/250,2021/0,2023/349,2022/12 144,2022/62.4
Myrtleford,2021/50,2021/80,2023/4 663,2021/55 336.4,2021/1 400,2023/590 000,2020/43 534,2021/250,2020/4 251,2021/680,2021/0,2023/585,2022/4 674,2022/58.1
Towong,2021/78,2021/137,2023/6 213,2021/666 894.7,2021/1 200,2023/350 000,2020/42 687,2021/210,2020/4 999,2021/526,2021/4.5,2023/975,2022/144 514,2022/55
West Wodonga,2021/268,2021/661,2023/15 584,2021/15 388,2021/1 387,2023/539 500,2020/52 290,2021/290,2020/11 763,2021/1 473,2021/0.7,2023/907,2022/480,2022/62.3
Yackandandah,2021/94,2021/101,2023/5 455,2021/70 819.8,2021/1 690,2023/596 500,2020/50 304,2021/280,2020/4 357,2021/378,2021/0,2023/672,2022/399,2022/59.9
Baranduda - Leneva,2021/187,2021/388,2023/13 878,2021/24 880.9,2021/1 707,2023/630 000,2020/No data available,2021/385,2020/7 761,2021/1 496,2021/2.7,2023/822,2022/233,2022/63
Wodonga,2021/320,2021/730,2023/14 814,2021/3 031.3,2021/1 300,2023/485 000,2020/No data available,2021/260,2020/13 254,2021/1 934,2021/0.9,2023/1 490,2020/13,2022/61.3
Drouin,2021/342,2021/430,2023/21 180,2021/32 680.6,2021/1 625,2023/605 000,2020/48 380,2021/330,2020/13 748,2021/2 412,2021/0.8,2023/1 607,2022/543,2022/59.4
Mount Baw Baw Region,2021/78,2021/57,2023/6 689,2021/275 332.8,2021/1 517,2023/452 500,2020/43 205,2021/250,2020/5 191,2021/630,2021/0,2023/889,2022/27 047,2022/59.4
Trafalgar (Vic.),2021/127,2021/84,2023/8 488,2021/50 152.9,2021/1 500,2023/572 500,2020/47 243,2021/300,2020/6 335,2021/879,2021/0,2023/920,2022/227,2022/58.2
Warragul,2021/354,2021/287,2023/24 417,2021/35 217.9,2021/1 647,2023/640 000,2020/49 466,2021/320,2020/17 030,2021/3 033,2021/2.9,2023/2 495,2022/1 038,2022/60.2
Alps - East,2021/No data available,2021/0,2020/3,2021/207 128.3,2021/No data available,2023/No data available,2019/32 682,2021/No data available,2018/3,2021/No data available,2021/0,2023/No data available,2022/105 565,2022/No data available
Bairnsdale,2021/237,2021/934,2023/15 819,2021/15 501.2,2021/1 300,2023/480 000,2020/44 665,2021/280,2020/10 844,2021/1 758,2021/1.5,2023/1 494,2022/1 036,2022/56.3
Bruthen - Omeo,2021/108,2021/183,2023/8 499,2021/737 741.7,2021/1 343,2023/427 500,2020/41 805,2021/250,2020/6 931,2021/732,2021/0,2023/1 105,2022/113 439,2022/59
Lake King,2021/No data available,2021/0,2023/No data available,2021/9 387.4,2021/No data available,2023/No data available,2020/No data available,2021/No data available,2020/No data available,2021/No data available,2021/0,2023/No data available,2022/1 962,2022/No data available
Lakes Entrance,2021/153,2021/420,2023/11 251,2021/21 403.5,2021/1 300,2023/570 000,2020/37 983,2021/270,2020/7 035,2021/1 501,2021/0,2023/891,2022/783,2022/51.3
Orbost,2021/88,2021/478,2023/6 685,2021/1 138 370,2021/1 083,2023/357 500,2020/38 041,2021/190,2020/4 753,2021/690,2021/0.9,2023/784,2022/413 975,2022/54.8
Paynesville,2021/74,2021/107,2023/7 051,2021/41 788.6,2021/1 300,2023/565 000,2020/37 891,2021/310,2020/4 264,2021/1 087,2021/3.2,2023/482,2022/4 852,2022/46.2
Foster,2021/114,2021/148,2023/9 507,2021/149 884.7,2021/1 300,2023/596 000,2020/39 276,2021/250,2020/6 709,2021/1 205,2021/0,2023/1 350,2022/5 459,2022/53.7
French Island,2021/3,2021/0,2023/140,2021/17 022.9,2021/1 800,2023/No data available,2020/21 302,2021/346,2020/61,2021/18,2021/0,2023/24,2022/10 443,2022/52.4
Korumburra,2021/173,2021/149,2023/9 894,2021/60 069.1,2021/1 499,2023/550 000,2020/44 768,2021/280,2020/7 450,2021/1 095,2021/0,2023/1 182,2022/490,2022/59.3
Leongatha,2021/192,2021/116,2023/11 643,2021/80 100.9,2021/1 457,2023/575 000,2020/44 669,2021/270,2020/8 609,2021/1 245,2021/0,2023/1 542,2022/376,2022/56.2
Phillip Island,2021/137,2021/154,2023/14 273,2021/10 057.3,2021/1 517,2023/800 000,2020/38 265,2021/330,2020/8 910,2021/2 360,2021/0,2023/1 211,2022/1 715,2022/55.4
Wilsons Promontory,2021/No data available,2021/0,2023/15,2021/48 150.8,2021/No data available,2023/No data available,2020/73 640,2021/100,2020/16,2021/No data available,2021/0,2023/No data available,2022/48 032,2022/73.3
Wonthaggi - Inverloch,2021/330,2021/404,2023/28 254,2021/72 876.3,2021/1 467,2023/719 000,2020/41 773,2021/298,2020/17 003,2021/3 790,2021/1.2,2023/2 369,2022/1 386,2022/55
Churchill,2021/164,2021/274,2023/12 095,2021/79 652.3,2021/1 300,2023/376 250,2020/49 079,2021/230,2020/8 699,2021/1 276,2021/0,2023/789,2022/1 874,2022/61.9
Moe - Newborough,2021/224,2021/571,2023/17 350,2021/10 528.4,2021/1 083,2023/390 000,2020/47 154,2021/210,2020/10 975,2021/2 283,2021/0.7,2023/772,2018/20,2022/59.6
Morwell,2021/195,2021/595,2023/14 455,2021/8 548.6,2021/953,2023/340 000,2020/43 803,2021/215,2020/8 224,2021/2 309,2021/3.6,2023/882,2022/No data available,2022/59.8
Yallourn North - Glengarry,2021/74,2021/110,2023/4 820,2021/34 270.2,2021/1 300,2023/375 000,2020/52 142,2021/250,2020/3 852,2021/306,2021/0,2023/301,2022/3 199,2022/64.2
Traralgon - East,2021/204,2021/286,2023/12 202,2021/10 833,2021/1 300,2023/485 000,2020/No data available,2021/250,2020/9 050,2021/1 506,2021/3,2023/1 143,2022/27,2022/61
Traralgon - West,2021/277,2021/233,2023/17 082,2021/4 134.3,2021/1 326,2023/489 500,2020/No data available,2021/300,2020/12 302,2021/2 158,2021/0,2023/871,2022/No data available,2022/61.9
Alps - West,2021/No data available,2021/0,2023/23,2021/295 568,2021/1 680,2023/No data available,2020/10 949,2021/20,2020/29,2021/No data available,2021/0,2023/11,2022/181 251,2022/43.5
Longford - Loch Sport,2021/49,2021/82,2023/4 966,2021/161 084.9,2021/1 300,2023/390 000,2020/44 934,2021/200,2020/3 182,2021/659,2021/0,2023/465,2022/40 120,2022/59.9
Maffra,2021/198,2021/301,2023/15 178,2021/253 232,2021/1 300,2023/434 000,2020/46 559,2021/250,2020/11 322,2021/1 211,2021/0,2023/1 466,2022/30 623,2022/58.2
Rosedale,2021/54,2021/150,2023/4 888,2021/96 846,2021/1 300,2023/407 000,2020/47 078,2021/236,2020/3 351,2021/594,2021/0,2023/575,2022/6 306,2022/68
Sale,2021/209,2021/471,2023/15 363,2021/4 560.2,2021/1 300,2023/472 750,2020/49 874,2021/280,2020/10 833,2021/1 938,2021/0.8,2023/1 155,2022/318,2022/59.9
Yarram,2021/59,2021/113,2023/5 580,2021/193 186.3,2021/1 192,2023/421 750,2020/38 845,2021/240,2020/3 993,2021/622,2021/0,2023/624,2022/11 941,2022/56.8
Brunswick East,2021/118,2021/132,2023/13 765,2021/216.8,2021/2 000,2023/1 270 000,2020/63 008,2021/421,2020/14 545,2021/3 838,2021/0,2023/1 187,2022/No data available,2022/82.3
Brunswick West,2021/153,2021/131,2023/15 196,2021/318,2021/2 000,2023/1 278 000,2020/57 450,2021/365,2020/14 880,2021/4 294,2021/3.7,2023/1 023,2022/No data available,2022/75.6
Pascoe Vale South,2021/137,2021/63,2023/10 628,2021/298.9,2021/2 167,2023/1 167 500,2020/61 738,2021/421,2020/8 954,2021/2 372,2021/0,2023/806,2022/No data available,2022/67.4
Brunswick - North,2021/116,2021/110,2023/14 057,2021/240.9,2021/2 167,2023/1 322 500,2020/No data available,2021/431,2020/15 067,2021/3 949,2021/0,2023/1 364,2022/No data available,2022/78.1
Brunswick - South,2021/119,2021/121,2023/14 273,2021/273.3,2021/2 018,2023/1 295 000,2020/No data available,2021/450,2020/15 448,2021/3 929,2021/4,2023/1 783,2022/No data available,2022/81.2
Coburg - East,2021/167,2021/78,2023/13 542,2021/374.7,2021/2 100,2023/1 170 000,2020/No data available,2021/416,2020/12 088,2021/4 034,2021/0,2023/1 533,2022/No data available,2022/73.6
Coburg - West,2021/183,2021/87,2023/14 527,2021/318.8,2021/2 299,2023/1 140 000,2020/No data available,2021/450,2020/13 215,2021/3 839,2021/5.3,2023/898,2022/No data available,2022/69.4
Alphington - Fairfield,2021/124,2021/52,2023/9 491,2021/288.5,2021/2 200,2023/1 945 000,2020/65 222,2021/381,2020/8 775,2021/2 034,2021/0,2023/1 149,2022/No data available,2022/71
Thornbury,,,,,,,,,,,,,,
Northcote - East,2021/181,2021/101,2023/15 558,2021/351.3,2021/2 427,2023/1 761 000,2020/No data available,2021/461,2020/15 334,2021/3 618,2021/0,2023/1 300,2022/No data available,2022/71.3
Northcote - West,2021/118,2021/77,2023/10 731,2021/263.2,2021/2 346,2023/1 537 500,2020/No data available,2021/490,2020/10 048,2021/2 550,2021/4.7,2023/1 046,2022/No data available,2022/73.8
Ascot Vale,2021/255,2021/97,2023/15 728,2021/383.6,2021/2 458,2023/1 317 500,2020/63 855,2021/370,2020/13 940,2021/4 178,2021/0,2023/1 407,2022/No data available,2022/70.1
Flemington,2021/105,2021/82,2023/9 782,2021/158.1,2021/2 000,2023/1 066 500,2020/55 880,2021/324,2020/9 729,2021/3 320,2021/0,2023/839,2022/No data available,2022/76.4
Moonee Ponds,2021/200,2021/72,2023/17 203,2021/435.5,2021/2 167,2023/1 513 000,2020/64 710,2021/400,2020/14 818,2021/4 574,2021/0,2023/1 972,2022/No data available,2022/71
Essendon (West) - Aberfeldie,2021/175,2021/78,2023/16 628,2021/488.9,2021/2 400,2023/1 618 500,2020/No data available,2021/382,2020/15 184,2021/3 774,2021/5.8,2023/1 775,2022/No data available,2022/68.3
Essendon - East,2021/129,2021/65,2023/12 664,2021/355.4,2021/2 167,2023/1 860 000,2020/No data available,2021/371,2020/11 138,2021/3 147,2021/0,2023/1 650,2022/No data available,2022/71.2
Carlton,2021/60,2021/121,2023/21 376,2021/181.9,2021/1 871,2023/1 435 000,2020/40 326,2021/365,2020/15 726,2021/9 091,2021/3.3,2023/2 638,2022/No data available,2022/88.7
Docklands,2021/97,2021/69,2023/17 723,2021/244.4,2021/2 000,2023/1 975 000,2020/58 307,2021/411,2020/16 853,2021/9 514,2021/6,2023/3 214,2022/No data available,2022/86.3
East Melbourne,2021/27,2021/15,2023/5 100,2021/290,2021/2 383,2023/3 494 000,2020/77 804,2021/480,2020/5 357,2021/1 344,2021/0,2023/1 530,2022/No data available,2022/71.9
Flemington Racecourse,2017/4,2021/0,2023/78,2021/170.9,2021/1 772,2023/No data available,2020/57 275,2021/401,2020/136,2021/38,2021/0,2023/30,2022/No data available,2022/98.7
Kensington (Vic.),2021/127,2021/70,2023/11 404,2021/214.7,2021/2 162,2023/1 085 000,2020/70 336,2021/416,2020/11 452,2021/3 330,2021/0,2023/1 061,2022/No data available,2022/75.9
Parkville,2021/33,2021/122,2023/8 003,2021/404.9,2021/2 000,2023/3 000 000,2020/47 865,2021/396,2020/6 730,2021/2 695,2021/0,2023/722,2022/No data available,2022/84.6
South Yarra - West,2021/52,2021/54,2023/6 789,2021/150.3,2021/2 100,2023/4 100 000,2020/69 578,2021/457,2020/7 380,2021/2 104,2021/0,2023/1 438,2022/No data available,2022/69.1
West Melbourne - Industrial,2021/No data available,2021/0,2019/3,2021/619.9,2021/No data available,2023/No data available,2020/90 927,2021/No data available,2020/8,2021/No data available,2021/0,2023/148,2022/No data available,2019/100
Melbourne CBD - East,2021/29,2021/53,2023/12 408,2021/80.2,2021/1 770,2023/No data available,2020/No data available,2021/375,2020/14 095,2021/5 756,2021/0,2023/7 465,2022/No data available,2022/90
Melbourne CBD - North,2021/36,2021/69,2023/21 566,2021/56.2,2021/1 725,2023/No data available,2020/No data available,2021/361,2020/17 716,2021/12 715,2021/0,2023/2 388,2022/No data available,2022/94.4
Melbourne CBD - West,,,,,,,,,,,,,,
North Melbourne,2021/113,2021/141,2023/18 017,2021/242.5,2021/2 035,2023/1 302 500,2020/No data available,2021/381,2020/18 818,2021/6 616,2021/0,2023/2 245,2022/No data available,2022/81.9
Royal Botanic Gardens Victoria,2021/No data available,2021/0,2023/No data available,2021/135.1,2021/No data available,2023/No data available,2020/No data available,2011/100,2020/5,2021/No data available,2021/0,2023/3,2022/No data available,2022/No data available
Southbank (West) - South Wharf,2021/41,2021/39,2023/7 418,2021/85,2021/2 000,2023/No data available,2020/No data available,2021/430,2020/9 391,2021/3 744,2021/13.3,2023/1 736,2022/No data available,2022/85.5
